SKU_TERMINADO;SKU_LF;SKU_ELZ;COSTO
ASA3020;A3020;ELZ-A3020;1990
ASA3525;A3525;ELZ-A3525;2700
ASA3535;A3535;ELZ-A3535;3675
ASA4030;A4030;ELZ-A4030;3829,786132
ASA4535;A4535;ELZ-A4535;5018,007325
ASA5040;A5040;ELZ-A5040;6000
ASA6040;A6040;ELZ-A6040;7650
ASA6834;A6834;ELZ-A6834;7650
ASA7045;A7045;ELZ-A7045;10036
BPEC4432;BP4432;ELZ-BP4432;3801
BPEC4432PERF;BP4432PERF;ELZ-BP4432PERF;3801
BPEC6040;BP6040;ELZ-BP6040;4954
HE40308;H40308;ELZ-H40308;5490,941726
HE443211;H443211;ELZ-H443211;6291,931618
HE453512;H453512;ELZ-H453512;6291,931618
HE604013;H604013;ELZ-H604013;8284,774542
HE604016;H604016;ELZ-H604016;8284,774542
HE704513;H704513;ELZ-H704513;10410,22037
HE704516;H704516;ELZ-H704516;10410,22037
HE704524;H704524;ELZ-H704524;10410,22037
LE40142;L40142;ELZ-L40142;3285,078652
LE40302;L40302;ELZ-L40302;3285,859884
LE44322;L44322;ELZ-L44322;3801,993526
LE45142;L45142;ELZ-L45142;3285,078652
LE45352;L45352;ELZ-L45352;5448,530153
LE60142;L60142;ELZ-L60142;3285,078652
LE60402;L60402;ELZ-L60402;4954,310057
LE60402P;L60402P;ELZ-L60402P;4954,310057
LE60405;L60405;ELZ-L60405;6149
LE70142;L70142;ELZ-L70142;3285,078652
LE70303;L70303;ELZ-L70303;4889,207428
LE70353;L70353;ELZ-L70353;5040,059519
LE70452;L70452;ELZ-L70452;5989,441855
LE70452P;L70452P;ELZ-L70452P;5990,441855
LE70455;L70455;ELZ-L70455;7253
LE80142;L80142;ELZ-L80142;3285,078652
LE80505;L80505;ELZ-L80505;8910
LE90142;L90142;ELZ-L90142;3285,078652
LEA6040;LA6040;ELZ-LA6040;4954,310057
LEA7045;LA7045;ELZ-LA7045;5989,441855
LEP60402;LP60402;ELZ-LP60402;4954,310057
LEP60405;LP60405;ELZ-LP60405;6149
LEP70452;LP70452;ELZ-LP70452;5990,441855
LEP70455;LP70455;ELZ-LP70455;7253
LEP80505;L-P80505;ELZ-LP80505;8910
LLE60402P;LL60402P;ELZ-LL60402P;4954,310057
LLE70452P;LL70452P;ELZ-LL70452P;5989,441855
PAES20;PAE20;ELZ-PAE20;1658,013008
PAES22;PAE22;ELZ-PAE22;1658,013008
PAES26;PAE26;ELZ-PAE26;2331,802953
PAES32;PAE32;ELZ-PAE32;2665,143349
PEL32;PCL32;;2376,915581
PEL34;PCL34;;2680,628645
PEL36;PCL36;;3084,723762
PEP10;PCP10;PGP10;1367,155206
PEP12;PCP12;PGP12;1367,155206
PEP14;PCP14;PGP14;1367,155206
PEP16;PCP16;PGP16;1770,791505
PEP18;PCP18;PGP18;1770,791505
PEP20;PCP20;PGP20;1770,791505
PEP22;PCP22;PGP22;1835,894134
PEP24;PCP24;PGP24;1835,894134
PEP26;PCP26;PGP26;1835,894134
PEP28;PCP28;PGP28;2101,51286
PEP30;PCP30;PGP30;2101,51286
PEP32;PCP32;PGP32;2376,915581
PEP34;PCP34;PGP34;2680,628645
PEP36;PCP36;PGP36;3084,723762
PEP36A;PCP36A;PGP36A;3701,668515
PEP45;PCP45;PGP45;4546,7676
PEP53;PCP53;PGP53;6307,304139
PSC16;PCP16;PGP16;0
PSC18;PCP18;PGP18;0
PSC20;PCP20;PGP20;0
PSC22;PCP22;PGP22;0
PSC24;PCP24;PGP24;0
PSC26;PCP26;PGP26;0
PSC28;PCP28;PGP28;0
PSC30;PCP30;PGP30;0
PSC32;PCP32;PGP32;2076,926569
PSC34;PCP34;PGP34;2320,112342
PSC36;PCP36;PGP36;2320,112342
PSC36A;PCP36A;PGP36A;2320,112342
PSC45;PCP45;PGP45;2709,289623
PSC53;PCP53;PGP53;3694,48585
PSCL32;PCL32;;2076,926569
PSCL34;PCL34;;2320,112342
PSCL36;PCL36;;2320,112342
REJ4030;;;0
REJ4432;;;0
REJ503015;;;0
REJ6040;;;0
REJ604020;;;0
REJ6040R;;;0
REJ7045;;;0
REJ7045R;;;0
REJ8060;;;0
REJ8060R;;;0
REJ9070;;;0
REJ9070R;;;0
TA-BA35256;;;0
TA-BA60402;;;0
TA-BA60402PERF;;;0
TA-BA70452;;;0
TA-BA70452PERF;;;0
TA-BAP60402;;;0
TA-BAP60402PERF;;;0
TA-BAP70452;;;0
TA-BAP70452PERF;;;0
TA-BPALZ4432;;;0
TA-BPALZ6040;;;0
TA-BPALZP4432;;;0
TA-HAE604012;;;0
TA-HAE604015;;;0
TA-HAE704515;;;0
TA-HAE704524;;;0
TA-HAE806020;;;0
TA-LALZ40302;;;0
TA-LALZ40305P;;;0
TA-LALZ45352;;;0
TA-LALZ60401P;;;0
TA-LALZ60402;;;0
TA-LALZ60405;;;0
TA-LALZ60405P;;;0
TA-LALZ70451P;;;0
TA-LALZ70452;;;0
TA-LALZ70455;;;0
TA-LALZ70455P;;;0
TA-LALZ80505;;;0
TA-LALZ80505P;;;0
TA-PALZE704530;;;0
TA-PALZE704545;;;0
TA-PALZE806014;;;0
TA-PALZE806021;;;0
TA-PALZE806032;;;0
TAL20-4432;;;0
TAL20-4432-CT;;;0
TAL20-6040;;;0
TAL20-6040-CT;;;0
TAL20-7045;;;0
TAL20-7045-CT;;;0
TAL20-8060;;;0
TAL20-8060-CT;;;0
TAL20-9070;;;0
TAL20-9070-CT;;;0
TAL24-4432;;;0
TAL24-4432-CT;;;0
TAL24-6040;;;0
TAL24-6040-CT;;;0
TAL24-7045;;;0
TAL24-7045-CT;;;0
TAL24-8060;;;0
TAL24-8060-CT;;;0
TAL24-9070;;;0
TAL24-9070-CT;;;0
TAL30-4432;;;0
TAL30-4432-CT;;;0
TAL30-6040;;;0
TAL30-6040-CT;;;0
TAL30-7045;;;0
TAL30-7045-CT;;;0
TAL30-8060;;;0
TAL30-8060-CT;;;0
TAL30-9070;;;0
TAL30-9070-CT;;;0
TAL33-8060;;;0
TAL33-8060-CT;;;0
TAL33-9070;;;0
TAL33-9070-CT;;;0
TEL20-4432;;;0
TEL20-4432-CT;;;0
TEL20-7045;;;0
TEL20-7045-CT;;;0
TEL20-8060;;;0
TEL20-8060-CT;;;0
TEL20-9070;;;0
TEL20-9070-CT;;;0
TEL24-4432;;;0
TEL24-4432-CT;;;0
TEL24-7045;;;0
TEL24-7045-CT;;;0
TEL24-8060;;;0
TEL24-8060-CT;;;0
TEL24-9070;;;0
TEL24-9070-CT;;;0
TEL30-4432;;;0
TEL30-4432-CT;;;0
TEL30-7045;;;0
TEL30-7045-CT;;;0
TEL30-8060;;;0
TEL30-8060-CT;;;0
TEL30-9070;;;0
TEL30-9070-CT;;;0
TFE503015;;;0
TFE604020;;;0
TN-BA35256;;;0
TN-BA60402;;;0
TN-BA60402PERF;;;0
TN-BA70452;;;0
TN-BA70452PERF;;;0
TN-BAA6040;;;0
TN-BAA6040PERF;;;0
TN-BAA70X45;;;0
TN-BAA70X45PERF;;;0
TN-BAP60402;;;0
TN-BAP60402PERF;;;0
TN-BAP70452;;;0
TN-BAP70452PERF;;;0
TN-BPA4432;;;0
TN-BPA4432PERF;;;0
TN-BPA6040;;;0
TN-BPA6040PERF;;;0
TN-BPALZ4432;;;0
TN-BPALZ6040;;;0
TN-BPALZP4432;;;0
TN-HAE604012;;;0
TN-HAE604015;;;0
TN-HAE704515;;;0
TN-HAE704524;;;0
TN-HAE806020;;;0
TN-HAT604012;;;0
TN-HAT604015;;;0
TN-HAT704515;;;0
TN-HAT704524;;;0
TN-LALZ40302;;;0
TN-LALZ40305P;;;0
TN-LALZ45352;;;0
TN-LALZ60401P;;;0
TN-LALZ60402;;;0
TN-LALZ60405;;;0
TN-LALZ60405P;;;0
TN-LALZ70451P;;;0
TN-LALZ70452;;;0
TN-LALZ70455;;;0
TN-LALZ70455P;;;0
TN-LALZ80505;;;0
TN-LALZ80505P;;;0
TN-MUF3526;;;0
TN-MUF403212;;;0
TN-MUF604024;;;0
TN-MUF704535;;;0
TN-PALZ60243;;;0
TN-PALZ60244;;;0
TN-PALZ70303;;;0
TN-PALZ70305;;;0
TN-PALZE704530;;;0
TN-PALZE704545;;;0
TN-PALZE806014;;;0
TN-PALZE806021;;;0
TN-PALZE806032;;;0
TN-PAP32;;;0
TN-PAP34;;;0
TN-PAP36;;;0
TN-PAP36A;;;0
TN-PLA-TAP20;;;0
TN-PLA-TAP24;;;0
TN-PLA-TAP30;;;0
TN-PLA-TAP33;;;0
TN-PLA201010;;;0
TN-PLA201010-CT;;;0
TN-PLA241010;;;0
TN-PLA241010-CT;;;0
TN-PLA301010;;;0
TN-PLA301010-CT;;;0
TN-PLA331010;;;0
TN-PLA331010-CT;;;0
TN-PMA372317;;;0
TN-PMA383020;;;0
TN-PMA573232;;;0
TN-TAL20-4432;;;0
TN-TAL20-4432-CT;;;0
TN-TAL20-6040;;;0
TN-TAL20-6040-CT;;;0
TN-TAL20-7045;;;0
TN-TAL20-7045-CT;;;0
TN-TAL20-8060;;;0
TN-TAL20-8060-CT;;;0
TN-TAL20-9070;;;0
TN-TAL20-9070-CT;;;0
TN-TAL24-4432;;;0
TN-TAL24-4432-CT;;;0
TN-TAL24-6040;;;0
TN-TAL24-6040-CT;;;0
TN-TAL24-7045;;;0
TN-TAL24-7045-CT;;;0
TN-TAL24-8060;;;0
TN-TAL24-8060-CT;;;0
TN-TAL24-9070;;;0
TN-TAL24-9070-CT;;;0
TN-TAL30-4432;;;0
TN-TAL30-4432-CT;;;0
TN-TAL30-6040;;;0
TN-TAL30-6040-CT;;;0
TN-TAL30-7045;;;0
TN-TAL30-7045-CT;;;0
TN-TAL30-8060;;;0
TN-TAL30-8060-CT;;;0
TN-TAL30-9070;;;0
TN-TAL30-9070-CT;;;0
TN-TAL33-8060;;;0
TN-TAL33-8060-CT;;;0
TN-TAL33-9070;;;0
TN-TAL33-9070-CT;;;0
