Identificador;Descripción;Grupo de artículos - Descripción
967;Agarrapizzeras;Utensilios
968;Asaderas De Chapa Alz;Bandejas Enlozadas
969;Asaderas De Chapa Dd;Bandejas Enlozadas
970;Asaderas Salpicado Completo;Bandejas Enlozadas
971;Bagueteras Con Marco De Alambre;Bagueteras
972;Bagueteras Con Teflón Azul;Bagueteras
973;Bagueteras Con Teflón Negro;Bagueteras
974;Bagueteras De Aluminio;Bagueteras
975;Bagueteras Marco Aluminizado;Bagueteras
976;Bagueteras Marco Aluminizado Teflón Negro;Bagueteras
977;Bandejas De Acero Inoxidable;Bandejas Para Hornos
978;Bandejas De Aluminio;Bandejas Para Hornos
979;Bandejas Planas;Bandejas Para Hornos
980;Bandejas Planas;Bandejas Enlozadas
981;Bandejas Planas Enlozadas;Bandejas Enlozadas
982;Bases Para Horno;Mobiliario De Elaboración
983;Batidores De Mano;Utensilios
984;Batidores Para Maquina;Utensilios
985;Bombones;Bandejas Exhibidoras
986;Cajones Y Palets;Código Interno
987;Canastos Y Paneras;Utensilios
988;Carros De Transporte;Carros
989;Carros Lateros Inoxidable 304;Carros
990;Carros Para Hornos Rotativos;Carros
991;Cepillos;Utensilios
992;Chapa Cortada Para Lactales;Código Interno
993;TRABAJOS A MEDIDA;Bagueteras
994;Combos Bagueteras;Pack Y Combos
995;Combos Hamburgueseras Enlozadas;Pack Y Combos
996;Combos Latas Enlozadas;Pack Y Combos
997;Combos Pizzeras;Pack Y Combos
998;Cortantes;Utensilios
999;Cuadros;Carros
1000;Cuchillos;Utensilios
1001;Cuerpos De Bagueteras;Código Interno
1002;Grisineras;Bandejas Para Hornos
1003;Guantes;Utensilios
1004;Hamburgueseras De Chapa Dd;Hamburgueseras
1005;Hamburgueseras De Chapa Elz;Hamburgueseras
1006;Hamburgueseras Enlozadas;Hamburgueseras
1007;Lactales;Pan De Molde
1008;Latas Aluminizadas;Bandejas Para Hornos
1009;Latas En Chapa Dd;Bandejas Enlozadas
1010;Latas En Chapa Elz;Bandejas Enlozadas
1011;Latas Enlozadas;Bandejas Enlozadas
1012;Línea Hojalata;Repostería
1013;Logística;Código Interno
1014;Mangas Y Picos Para Decorar;Utensilios
1015;Marcos De Bagueteras;Código Interno
1016;Moldes Para Corte Sandwich;Utensilios
1017;Mobiliario De Elaboración;Mobiliario De Elaboración
1018;Muffins;Bandejas Para Hornos
1019;Ojos De Buey;Utensilios
1020;Pack Y Combos;Pack Y Combos
1021;Paelleras;Recipientes Gastronómicos
1022;Palas;Utensilios
1023;Palos De Amasar;Utensilios
1024;Pan De Miga;Pan De Molde
1025;Pancheras;Bandejas Para Hornos
1026;Pedido Aluminio;Código Interno
1027;Pedido Aluminizada;Código Interno
1028;Pedido Chapa Cortada;Código Interno
1029;Pedido Chapa Discos;Código Interno
1030;Pedido Chapa Figuras;Código Interno
1031;Pedido Estructurales;Código Interno
1032;Pedido Inoxidable;Código Interno
1033;Picas;Utensilios
1034;Pinceles;Utensilios
1035;Pinzas;Utensilios
1036;Pizzeras Aluminizadas;Pizzeras
1037;Pizzeras Aluminizadas Teflonadas;Pizzeras
1038;Pizzeras De Chapa Dd;Pizzeras
1039;Pizzeras Enlozadas;Pizzeras
1040;Pizzeras Salpicado Completo;Pizzeras
1041;Placas;Bandejas Exhibidoras
1042;Rasquetas;Utensilios
1043;Rejillas;Bandejas Para Hornos
1044;Repuestos Y Complementos Para Carros;Carros
1045;Rosetas;Utensilios
1046;Servicio De Reciclado;Bagueteras
1047;Tachos Para Batidora;Utensilios
1048;Tachos Y Bachas Industriales;Recipientes Gastronómicos
1049;Tendillos;Utensilios
1050;Trinchas Lactal;Pan De Molde
1051;Pizzeras De Chapa Galvanzadas;Pizzeras
1052;Pizzeras De Chapa Electrozincadas;Pizzeras
1054;Bandejas Apilables;Bandejas Para Hornos
1055;Latas Enlozadas Apilables;Bandejas Enlozadas
1056;Hamburgueseras Aluminizadas;Hamburgueseras
1057;TRABAJOS A MEDIDA;Bandejas Exhibidoras
1058;TRABAJOS A MEDIDA;Bandejas Para Hornos
1059;TRABAJOS A MEDIDA;Carros
1060;TRABAJOS A MEDIDA;Hamburgueseras
1061;TRABAJOS A MEDIDA;Mobiliario De Elaboración
1062;TRABAJOS A MEDIDA;Pan De Molde
1063;TRABAJOS A MEDIDA;Pizzeras
1065;Bagueteras VANT;Bagueteras
1156;TRABAJOS A MEDIDA;Repostería
1157;Bandejas Detroit;Bandejas Para Hornos
